BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
49 71.9394 83.787 38.4718 4.70008 67 115.163 17.6877 132.85 4.99702 4.99702 69.2385 17278.5 1.54563 0.584769 4.42064 0.168048 692 31.1279 0.00972364 31.1376 806.828 805.98 15.4224 0.586273 692 65.4298 773.407 838.837 231.368 -0.218936 -0.0562047 0.824293 0.0985218 70 4.91972 -4.92873 -0.00900954 26.2502 0.38751 0.554824 0.512311 0.187237 0.0228746 67 0.627866 0.317897 0.945763 33.4527 33.2648 12.1759 1.48752 67 39.3776 13.9685 53.3461
50 57.7149 23.3744 67.5213 5.24067 166 242.43 4.13432 246.565 4.9969 4.9969 30.2006 21048.8 1.32791 0.531254 4.02537 0.138641 843 31.6888 0.0232549 31.7121 785.063 784.055 29.6717 1.02195 843 119.859 718.106 837.966 154.747 -0.144082 -0.0464227 0.640963 0.0508317 159 4.63741 -4.63801 -0.000601305 13.8595 0.394078 0.596793 0.563003 0.222279 0.0172522 166 1.06532 0.108433 1.17376 27.293 13.3169 28.3203 2.19808 166 108.86 0.800171 109.66
52 113.208 109.434 64.253 5.99162 115 202.893 24.4321 227.325 146.305 148.979 59.8764 18327.2 0.474927 0.504451 0.165136 0.00609527 734 0.814909 0.0219458 0.836855 733.021 729.019 33.7514 1.24579 734 126.653 679.969 806.622 95.587 -0.0313898 -0.0301033 0.0154759 0.00157951 96 0.0709373 -0.0713887 -0.000451384 5.92265 0.402515 0.486586 0.499403 0.0984183 0.00917756 115 0.540603 0.245093 0.785696 54.6816 51.9123 31.5356 2.94071 115 101.31 11.4482 112.758
53 101.8 110.517 57.5654 5.29933 118 221.344 3.61333 224.958 4.99689 4.99689 67.8148 20524.5 0.690114 0.450213 2.1242 0.07409 822 25.8938 0.0515553 25.9454 738.937 739.952 28.4226 0.99135 822 116.431 675.622 792.053 239.665 -0.154406 -0.0245756 0.733068 0.072943 101 4.45128 -4.45154 -0.000255826 26.1975 0.396073 0.499968 0.461634 0.127946 0.0117784 118 0.788523 0.0291737 0.817697 48.3842 52.1334 24.7712 2.28037 118 91.973 0.189209 92.1622
54 79.3558 73.9199 40.1311 3.08701 169 181.173 3.6707 184.844 88.7494 92.166 44.2047 74707.1 0.425384 0.430459 0.204773 0.00374363 2992 1.00751 0.00567216 1.01319 696.993 692.357 29.0429 0.530957 2992 124.077 657.307 781.384 167.92 -0.0344381 -0.0290006 0.0202766 0.00133411 231 0.0948497 -0.0950371 -0.000187396 4.55477 0.330981 0.364554 0.398294 0.132444 0.010188 169 0.660312 0.0311269 0.691439 31.5183 28.9927 19.6184 1.50911 169 79.8987 0.114258 80.013
55 101.511 95.9759 60.4267 5.63481 115 201.639 7.51392 209.153 231.076 244.581 61.1143 15355.9 0.477211 0.51372 0.186826 0.00753355 615 0.904094 0.0344713 0.938565 715.271 709.505 25.6699 1.03511 615 100.04 670.153 770.193 104.49 -0.0445336 -0.0389881 0.0255759 0.00262403 95 0.133037 -0.134656 -0.00161939 7.53439 0.313267 0.396027 0.367809 0.122752 0.0114467 115 0.758039 0.187458 0.945497 38.16 30.3238 24.3786 2.27332 115 81.66 2.59875 84.2588
56 111.311 115.809 72.129 6.40041 127 323.552 3.56781 327.12 224.62 235.984 64.4272 19076.3 0.525262 0.541212 0.150234 0.00543529 764 0.816784 0.0757121 0.892496 769.413 766.008 26.7301 0.967059 764 116.8 718.23 835.03 128.678 -0.0470749 -0.0455335 0.0217092 0.00201564 116 0.0905094 -0.0905221 -1.27543e-05 8.73322 0.373158 0.519141 0.442877 0.180801 0.0160435 127 1.1686 0.23376 1.40236 49.8437 51.2929 28.6169 2.53934 127 113.593 0.998535 114.592
57 108.689 97.7902 56.8709 5.34996 113 276.359 10.8206 287.18 28.3334 27.5628 48.6691 34407.2 0.510284 0.525361 0.177033 0.00476904 1378 0.856722 0.0238485 0.88057 769.477 771.024 26.5818 0.716077 1378 119.857 716.206 836.064 180.213 -0.0472442 -0.0474109 0.0226403 0.00212982 113 0.101707 -0.102038 -0.000331437 8.55817 0.381323 0.477202 0.472902 0.0737366 0.00693655 113 0.290755 0.327622 0.618377 49.7345 46.9001 20.6213 1.93989 113 91.712 6.41235 98.1243
58 47.747 40.3465 32.8516 3.44378 91 138.365 3.62265 141.988 4.9969 4.9969 96.5882 21373.4 1.95771 0.524416 5.44999 0.186277 856 31.5918 0.0365893 31.6284 728.853 732.374 26.4686 0.904678 856 104.819 675.753 780.573 219.497 -0.21261 -0.0311658 0.851012 0.0834486 104 5.70455 -5.70487 -0.000325304 16.9192 0.418247 0.482806 0.507008 0.133664 0.0140118 91 0.705323 0.0400444 0.745367 23.9641 22.1136 16.1713 1.69522 91 58.3439 0.197571 58.5414
60 176.076 177.764 42.5303 6.56257 42 154.909 105.76 260.669 4.99689 4.99689 64.4781 14157.4 1.11993 0.64359 3.56459 0.149699 567 37.6576 0.26336 37.921 929.104 934.232 52.0809 2.18719 567 200.61 816.016 1016.63 124.358 -0.35313 -0.0656896 1.17561 0.22217 28 6.00238 -6.00425 -0.00187376 103.63 0.559247 0.676196 0.681534 0.0364794 0.0056289 42 0.163184 0.618228 0.781412 118.164 125.248 24.9276 3.84641 42 89.9458 74.8087 164.754
62 142.658 137.723 32.0686 4.00858 64 126.093 89.8567 215.949 46.0793 79.9503 140.13 13283.5 0.460442 0.470456 0.171734 0.00744561 532 0.797447 0.0367408 0.834188 699.868 697.605 19.2468 0.834456 532 75.1465 669.457 744.603 247 -0.0406634 -0.0400146 0.0174314 0.00223186 61 0.080277 -0.0835251 -0.00324818 9.66827 0.288609 0.343599 0.347022 0.0621113 0.00776391 64 0.32667 0.144615 0.471285 49.4069 45.819 15.7141 1.96426 64 50.0235 23.452 73.4755
63 59.5813 58.5505 36.6459 4.47701 67 122.911 3.58753 126.498 4.9969 4.9969 121.911 12983.8 1.52728 0.51971 4.53464 0.198857 520 30.4203 0.0245528 30.4448 707.417 708.194 16.1079 0.706376 520 62.9565 675.763 738.719 275.672 -0.327354 -0.0338313 0.993716 0.126202 62 4.08546 -4.08741 -0.00195932 32.5069 0.392513 0.453285 0.466353 0.138852 0.0169635 67 0.834 0.0336312 0.867632 28.0637 29.3944 16.9294 2.06826 67 56.0744 0.206787 56.2812
64 54.8946 48.0323 40.0578 6.25597 41 120.261 7.49655 127.757 4.99689 4.99689 100.973 13608.1 2.72472 0.760837 7.46824 0.319904 545 40.4911 0.403705 40.8948 948.26 951.128 31.5231 1.3503 545 137.126 869.966 1007.09 89.3167 -0.269491 -0.0318358 0.989643 0.16494 36 5.27605 -5.27686 -0.00080357 24.656 0.681387 0.887615 0.792803 0.221653 0.0346163 41 0.979943 0.515035 1.49498 44.8853 40.0531 29.5043 4.60779 41 97.9454 3.86163 101.807
66 95.2561 97.4205 53.1469 4.5573 136 184.937 4.56349 189.501 68.4546 69.6323 70.7542 29313.5 0.474953 0.492739 0.190844 0.00556986 1174 0.940034 0.0245092 0.964543 695.013 691.834 20.0686 0.58571 1174 85.1492 665.948 751.098 117.281 -0.0440356 -0.0421959 0.0230818 0.00203224 129 0.116714 -0.118055 -0.00134051 6.9911 0.317295 0.39248 0.405065 0.103333 0.0088607 136 0.577507 0.0853247 0.662831 36.2692 35.7881 21.5772 1.85023 136 77.9798 2.22961 80.2094
67 59.7539 67.668 47.5789 5.42212 77 245.683 3.63179 249.315 4.99706 4.99706 52.4802 24095 2.01291 0.804762 5.63879 0.182086 959 37.5632 0.219587 37.7828 962.52 968.14 30.7204 0.988923 965 140.827 870.824 1011.65 42.9744 -0.175616 -0.0581589 0.742102 0.0893386 69 5.73625 -5.73724 -0.000989215 17.4896 0.689463 0.910155 0.871367 0.213187 0.0242949 77 1.03469 0.515342 1.55003 49.4377 56.0714 33.1104 3.77328 77 161.867 2.17761 164.045
68 189.485 212.029 80.8772 8.25449 96 280.213 25.9196 306.133 14.288 15.2055 97.5148 14756.6 0.473164 0.482375 0.16098 0.00662184 591 0.736058 0.0978263 0.833885 757.563 753.878 28.3091 1.16448 591 119.177 708.317 827.494 171.267 -0.0510695 -0.0510528 0.0211204 0.00222629 90 0.0948457 -0.0949649 -0.000119228 16.1282 0.290096 0.350721 0.342173 0.0659827 0.00673433 96 0.431036 0.155395 0.586431 65.9627 71.2184 27.3365 2.79002 96 100.566 8.47113 109.037
69 67.0625 62.7735 46.5373 4.58545 103 216.725 3.56115 220.286 114.691 113.988 63.465 22596.9 0.394772 0.398921 0.168005 0.00558468 905 0.798833 0.0169499 0.815783 689.783 689.517 16.1773 0.53775 905 73.1067 661.15 734.257 188.946 -0.0374469 -0.0389428 0.0162155 0.00136559 141 0.0734099 -0.0760609 -0.00265099 4.18547 0.269135 0.345914 0.351866 0.0941122 0.00927315 103 0.454228 0.120719 0.574947 21.6586 23.4025 14.0894 1.38827 103 58.0424 1.09082 59.1332
71 95.7849 87.1939 64.9902 4.70253 191 259.782 3.61114 263.393 28.3512 25.2469 49.3108 76804.4 0.489139 0.484599 0.232081 0.00418453 3076 1.28456 0.0326 1.31716 802.2 795.677 49.8591 0.898982 3076 260.52 715.529 976.048 89.7845 -0.0310617 -0.033079 0.0226637 0.00176974 164 0.119504 -0.119554 -4.97778e-05 4.95873 0.418976 0.440151 0.492995 0.161063 0.0116541 191 0.88664 0.0241474 0.910788 48.1579 37.3541 40.6007 2.93776 191 162.223 0.146484 162.369
72 122.097 130.84 42.1099 5.6781 55 150.484 32.9741 183.458 208.256 208.838 167.833 14232.3 0.349611 0.365346 0.154436 0.00646862 570 0.68288 0.0182304 0.701111 681.787 680.308 11.684 0.489387 570 44.0032 665.944 709.947 88.0106 -0.0342418 -0.0297834 0.0164059 0.00208355 62 0.0792183 -0.0863469 -0.00712861 6.96804 0.16483 0.199219 0.199933 0.0877355 0.0118303 55 0.390961 0.0719759 0.462937 24.1503 22.1896 11.8823 1.60221 55 38.5794 4.97382 43.5532
