BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
106 121.013 119.578 49.8206 5.60526 79 205.724 3.98741 209.711 4.99689 4.99689 50.3887 25393.4 1.22296 0.342494 4.19465 0.131533 1017 31.3168 0.0673126 31.3841 723.71 725.277 22.6709 0.710899 1017 101.468 656.01 757.477 223.354 -0.293369 -0.00523279 1.04989 0.160107 43 4.25409 -4.25416 -6.72184e-05 59.169 0.24918 0.282112 0.287551 0.0568798 0.00639948 79 0.315919 0.0309393 0.346858 36.1849 35.7639 17.3536 1.95243 79 65.9131 0.156616 66.0697
125 67.2882 69.5025 19.3036 6.10432 10 60.9837 38.6551 99.6388 113.239 110.169 53.0804 16504.5 0.372944 0.384331 0.17214 0.00669549 661 0.759551 7.14272e-05 0.759622 694.671 691.808 14.6037 0.568018 661 56.3542 675.624 731.979 132.395 -0.0418112 -0.0394984 0.0172875 0.00332699 27 0.0676345 -0.0823578 -0.0147232 4.689 0.334346 0.415363 0.400764 0.0743194 0.0235019 10 0.259197 0.352389 0.611586 26.9971 24.7 5.86668 1.85521 10 17.1382 21.7009 38.8391
130 73.5984 32.6107 66.2203 13.2441 25 195.935 7.49849 203.434 4.9969 4.9969 156.715 13558.1 0.640456 0.495425 1.63614 0.0702136 543 22.1282 0.0365071 22.1647 740.281 740.173 26.7891 1.14963 543 112.394 688.472 800.866 97.7172 -0.122694 -0.0386956 0.435626 0.045919 90 2.4823 -2.48347 -0.00117529 15.0501 0.428413 0.625128 0.523814 0.299093 0.0598185 25 1.48403 0.0313046 1.51533 37.8366 22.0119 30.8945 6.1789 25 94.8699 0.235779 95.1057
131 105.07 116.781 61.2726 6.56911 87 207.54 3.7415 211.281 5.60923 5.5724 306.845 14806.6 0.85786 0.353138 3.20583 0.131648 593 28.6469 0.0600551 28.7069 719.632 717.636 18.3742 0.754538 593 72.8396 679.788 752.628 227.468 -0.330458 -0.00659975 1.01578 0.142237 51 4.06612 -4.06617 -4.40911e-05 57.8689 0.275188 0.343048 0.334365 0.0635642 0.0068148 87 0.496413 0.252484 0.748897 34.6969 35.1558 21.1031 2.26249 87 65.1428 1.3277 66.4705
134 71.4598 71.374 49.0205 5.16721 90 164.495 3.7695 168.265 4.99689 4.99689 78.7903 13633 1.70437 0.366692 5.04919 0.216085 546 31.0998 0.0226659 31.1225 726.32 728.95 16.7404 0.716425 546 69.7944 681.63 751.424 242.645 -1.15799 -0.0111711 1.9521 0.223921 76 6.65693 -6.65706 -0.000123231 137.916 0.236984 0.373276 0.294809 0.387158 0.04081 90 2.30873 0.107937 2.41667 20.3218 15.8506 15.9128 1.67736 90 56.9855 0.95752 57.943
137 112.057 109.778 63.6 6.2667 103 253.145 7.82373 260.969 343.039 355.192 100.017 14307.2 0.313699 0.296098 0.158292 0.00661275 573 0.809741 0.0123801 0.822121 675.817 672.435 19.6047 0.818997 573 86.3285 642.29 728.618 178.904 -0.0151021 -0.0107789 0.0145163 0.00145163 100 0.0581816 -0.0585179 -0.000336339 2.82049 0.206877 0.281908 0.251728 0.12462 0.0122792 103 0.67462 0.140599 0.815219 27.8185 23.5563 16.2882 1.60493 103 66.0856 6.37805 72.4636
140 82.1739 69.9882 45.4256 6.48938 49 163.126 8.46337 171.589 4.99711 4.99711 71.2015 21448.3 0.976948 0.338135 3.59082 0.122517 859 32.7363 0.0259009 32.7622 717.434 713.242 18.9495 0.64655 859 99.1203 659.571 758.692 267.419 -0.214457 -0.0241934 0.797013 0.0973707 67 4.4403 -4.44033 -3.30021e-05 29.3713 0.212319 0.29704 0.234346 0.183778 0.0262541 49 0.798852 0.118552 0.917404 20.9365 18.0082 11.9669 1.70955 49 47.1028 3.77307 50.8759
150 41.4236 43.2672 11.855 2.96376 16 40.8743 19.0896 59.9639 28.3993 1691.19 82.32 16429.6 0.29692 0.312316 0.119457 0.00465691 658 0.541558 0.00489682 0.546455 650.394 648.919 8.89496 0.346761 658 47.0876 628.417 675.504 193.056 -0.0313473 -0.0306185 0.0157575 0.00198525 63 0.0628417 -0.0651599 -0.00231821 2.1642 0.309154 0.369468 0.378146 0.040018 0.0100045 16 0.133904 0.293061 0.426965 15.3675 13.2056 5.06464 1.26616 16 14.039 8.11261 22.1516
151 149.351 147.949 26.5086 5.10159 27 112.911 78.4633 191.375 35.6574 35.3876 46.3709 32160 0.442178 0.453856 0.154918 0.00431662 1288 0.799944 0.0188829 0.818827 686.838 684.706 23.5114 0.65512 1288 111.168 640.548 751.716 116.258 -0.0380116 -0.0382595 0.0124985 0.00228191 30 0.0469859 -0.061157 -0.0141711 9.46176 0.322782 0.38349 0.385435 0.0313274 0.00602896 27 0.101973 0.331839 0.433812 57.8492 56.7048 14.2371 2.73993 27 48.9483 32.0552 81.0035
152 102.447 80.6621 59.9162 5.04585 141 237.877 23.5056 261.382 5.70271 5.73796 31.5982 44894.1 0.643487 0.366356 2.49809 0.0589132 1798 33.1369 0.00937187 33.1463 679.954 668.818 39.9566 0.942309 1798 150.94 624.479 775.419 264.785 -0.214438 -0.0253481 1.03013 0.0982189 110 8.3559 -8.35608 -0.000177348 36.6141 0.272789 0.341499 0.333451 0.0850927 0.0071661 141 0.572101 0.0941435 0.666245 33.5356 28.254 18.4182 1.55109 141 75.3356 2.80585 78.1415
