BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
42 133.697 145.781 39.1657 7.83314 25 164.923 47.8232 212.746 22.0097 23.6355 461.984 13058.8 0.704094 0.707201 0.196397 0.00858785 523 1.15711 0.0640414 1.22116 907.604 907.494 27.5848 1.2062 523 118.091 840.973 959.064 187.104 -0.0567755 -0.0530408 0.0287795 0.0058746 24 0.101501 -0.117873 -0.0163713 12.6512 0.559506 0.663047 0.658258 0.0811097 0.0162219 25 0.277357 0.517323 0.79468 89.7652 99.0358 27.1896 5.43792 25 94.4323 24.7401 119.172
43 62.3756 42.4262 48.318 5.33583 82 166.473 7.51485 173.988 4.9969 4.9969 46.837 38327.3 1.15494 0.555852 3.93104 0.100335 1535 42.8327 0.0870146 42.9197 962.687 962.362 42.5187 1.08524 1535 204.524 840.147 1044.67 239.339 -0.19507 -0.0411924 0.898087 0.102347 77 5.79702 -5.79862 -0.00160397 20.2794 0.480409 0.671095 0.597531 0.218513 0.0241307 82 0.972446 0.463229 1.43567 35.959 29.3479 22.8646 2.52497 82 81.5198 6.57922 88.099
47 90.3643 99.8675 45.1971 3.97938 129 202.372 4.56894 206.94 680.421 688.67 78.2557 24869.1 0.422957 0.42075 0.177153 0.00561331 996 0.742403 0.0712153 0.813619 710.508 707.575 20.8209 0.659736 996 95.7248 676.943 772.668 270.424 -0.0393046 -0.0397138 0.0157665 0.00144531 119 0.0674884 -0.0680184 -0.000529937 5.91955 0.347739 0.387764 0.408945 0.121574 0.010704 129 0.740587 -0.0960357 0.644552 37.7078 38.7252 22.4246 1.97438 129 79.6057 -0.438782 79.1669
49 106.091 100.714 64.2035 4.51734 202 269.462 3.65105 273.113 17.7606 18.1907 80.2777 63171.4 0.571076 0.554808 0.164237 0.0032652 2530 1.04559 0.0634246 1.10901 774.252 772.536 38.9883 0.775128 2530 187.525 688.267 875.792 256.499 -0.0481226 -0.0457257 0.0234605 0.001702 190 0.111333 -0.112704 -0.00137144 8.50893 0.458492 0.596334 0.533221 0.206828 0.0145524 202 1.85629 -0.259322 1.59697 58.3701 58.1843 32.3768 2.27802 202 128.856 -2.11389 126.742
50 149.872 198.667 69.3882 9.71629 51 191.426 29.5569 220.983 17.9346 17.1657 280.347 16329.7 0.667294 0.648058 0.186475 0.00729175 654 0.972693 0.194245 1.16694 884.585 887.623 37.2088 1.45498 654 149.508 804.687 954.196 218.898 -0.0803626 -0.0923525 0.0333512 0.0049717 45 0.11891 -0.121521 -0.00261077 20.0735 0.5317 0.680957 0.631262 0.156448 0.021907 51 0.763313 0.465272 1.22858 95.6241 124.002 40.5527 5.67851 51 115.123 23.5987 138.722
53 31.5945 18.2031 33.2602 4.8515 47 115.468 3.64018 119.109 4.99701 4.99701 56.8543 21947.7 1.23209 0.383817 4.0403 0.136276 879 29.1389 0.013612 29.1525 677.393 673.771 14.0273 0.473128 879 56.1396 654.025 710.165 161.272 -0.274935 -0.035261 0.876105 0.138524 40 3.98568 -3.98715 -0.00147181 14.4774 0.349198 0.492932 0.529839 0.18485 0.0269632 47 0.813145 0.00102275 0.814167 13.2393 10.0183 10.733 1.56557 47 38.2097 0.00506592 38.2147
55 104.713 104.953 50.9107 7.58931 45 194.043 22.8279 216.871 4.9969 4.9969 124.43 14282.2 1.20735 0.589468 3.72377 0.155699 572 33.1328 0.0594801 33.1923 842.28 841.823 24.6415 1.03031 572 108.841 788.694 897.535 283.279 -0.311327 -0.0511819 1.02132 0.150586 46 4.83514 -4.83888 -0.00374554 54.3334 0.409546 0.52845 0.465435 0.115724 0.0172512 45 0.436035 0.427295 0.86333 51.462 46.3555 23.2161 3.46085 45 100.856 19.0814 119.937
56 62.3601 73.2658 32.8648 3.82045 74 107.718 3.56184 111.28 4.99711 4.99711 73.6892 16179.9 1.13791 0.456137 3.6975 0.145251 648 28.9555 0.0122576 28.9677 676.908 676.435 13.7127 0.538687 648 49.0009 654.426 703.427 101.228 -0.223756 -0.0317096 0.813709 0.0965694 71 4.14878 -4.15169 -0.00291327 23.2557 0.292117 0.336298 0.350407 0.0762516 0.00886407 74 0.425013 0.117658 0.542671 21.8597 26.1743 13.1866 1.53291 74 42.777 0.735657 43.5126
57 137.409 137.819 42.3413 4.7339 80 175.619 39.342 214.961 4.99689 4.99689 67.0835 26566.9 0.821575 0.623265 2.33287 0.0715188 1064 33.7113 0.182701 33.894 798.608 796.634 41.1582 1.26179 1064 177.962 717.591 895.553 260.912 -0.320436 -0.0469341 1.17857 0.131769 80 6.93985 -6.94567 -0.00581429 73.3847 0.482886 0.586644 0.587464 0.051387 0.00574525 80 0.275588 0.430095 0.705683 79.6235 75.9709 23.2355 2.59781 80 97.3758 24.5116 121.887
58 120.107 133.676 56.2328 6.17235 83 187.699 18.1578 205.857 454.128 447.106 41.0421 34956.5 0.367801 0.358997 0.181442 0.00484925 1400 0.916538 0.0234904 0.940029 684.097 676.102 23.4363 0.626361 1400 121.218 651.764 772.981 190.875 -0.0395721 -0.0353811 0.0238224 0.00291037 67 0.0906541 -0.0914291 -0.00077509 7.92144 0.341574 0.38656 0.397299 0.0894775 0.00982144 83 0.437393 0.168485 0.605878 49.2303 55.2527 28.8197 3.16338 83 93.8878 8.46307 102.351
