BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
578 129.372 92.4391 117.067 2.58496 2051 565.902 3.65337 569.555 22.42 23.7934 54.1396 619105 0.379028 0.366589 0.168189 0.00106811 24795 1.02851 0.00250043 1.03101 703.545 692.191 61.9497 0.393421 24795 302.636 598.674 901.31 233.581 -0.0308926 -0.0269114 0.0200709 0.000457577 1924 0.117673 -0.117681 -8.11229e-06 6.66107 0.254946 0.346912 0.307867 0.152445 0.00336612 2051 1.34709 -0.071201 1.27589 39.5795 29.1605 34.4323 0.760297 2051 172.719 -0.450928 172.268
591 177.656 189.453 96.1278 2.58674 1381 435.474 3.5368 439.01 44.8512 41.1161 109.855 565097 0.734904 0.723175 0.245277 0.00163041 22632 1.76252 0.00364633 1.76617 453.986 445.669 112.395 0.747111 22632 520.995 242.174 763.169 108.061 -0.0400478 -0.0343649 0.0294627 0.000859151 1176 0.159226 -0.15926 -3.42005e-05 11.8579 0.627271 0.744285 0.765412 0.177353 0.00477245 1381 1.63394 -0.131615 1.50232 133.726 141.182 74.2531 1.9981 1381 279.036 -0.547043 278.489
682 142.836 133.865 96.3183 1.36832 4955 553.89 3.54336 557.434 28.2688 27.1639 63.7518 2.19951e+06 0.459803 0.452537 0.207342 0.000698594 88090 1.56044 5.51517e-05 1.5605 709.619 668.795 119.894 0.403955 88090 521.042 507.02 1028.06 243.325 -0.0373713 -0.0339487 0.0234441 0.00032555 5186 0.161096 -0.161108 -1.17193e-05 8.89662 0.343796 0.430528 0.413954 0.180778 0.00256817 4955 3.88349 -0.280981 3.60251 58.9278 48.0259 45.0987 0.640682 4955 266.734 -1.43604 265.298
710 186.605 186.128 100.262 1.7802 3172 537.61 3.53843 541.149 22.5798 23.3306 79.4466 1.57926e+06 0.606105 0.576754 0.341644 0.00135846 63249 7.70283 6.44562e-05 7.70289 690.595 704.06 224.816 0.893922 63249 842.785 204.36 1047.15 71.6842 -0.0477167 -0.0307529 0.108066 0.00204923 2781 2.26235 -2.26237 -2.0768e-05 14.8403 0.437485 0.547627 0.519835 0.27466 0.00487673 3172 2.59245 -0.10457 2.48788 97.9643 86.3387 67.9724 1.20688 3172 332.961 -0.660522 332.3
798 124.213 108.436 91.1959 2.87383 1007 460.455 3.55144 464.006 44.7602 45.336 68.1557 357855 0.474774 0.477702 0.17597 0.00146989 14332 1.15533 0.00248339 1.15782 637.621 642.564 60.0939 0.501969 14332 256.51 491.313 747.823 219.092 -0.0350902 -0.0319355 0.0185 0.000523677 1248 0.119978 -0.120133 -0.000154756 7.26443 0.348094 0.446817 0.414801 0.128112 0.00403715 1007 0.986358 -0.0163231 0.970035 51.8854 47.9243 35.7593 1.12687 1007 157.658 -0.0845337 157.573
815 182.599 165.913 128.432 1.8023 5078 662.026 3.5425 665.569 70.92 82.9688 64.4337 1.94443e+06 0.458258 0.382839 0.635664 0.00227788 77874 20.4409 5.22187e-05 20.4409 644.86 645.934 225.603 0.80844 77874 847.587 176.042 1023.63 204.691 -0.0314113 -0.0216126 0.100081 0.0015653 4088 3.6428 -3.6428 -1.57702e-06 9.55943 0.304981 0.381978 0.327562 0.203162 0.002851 5078 2.52836 -0.136641 2.39172 66.827 54.1909 54.8697 0.769993 5078 286.129 -0.662659 285.467
839 144.116 146.222 97.9291 3.21468 928 337.663 3.54015 341.203 35.6171 36.8348 84.0417 227866 0.548258 0.575532 0.20465 0.00214226 9126 1.11274 0.0122213 1.12496 605.365 599.564 46.5354 0.487128 9126 188.749 517.655 706.404 89.8528 -0.0417455 -0.0398064 0.0235035 0.000823291 815 0.15393 -0.15395 -2.00017e-05 10.027 0.35401 0.438499 0.41811 0.174142 0.00571648 928 1.29994 -0.0369252 1.26302 61.2221 61.2053 41.9498 1.37707 928 146.3 -0.190552 146.11
857 154.067 147.825 94.6414 2.08824 2054 534.122 3.56817 537.69 56.5344 56.0856 75.9101 935087 0.530893 0.519984 0.212315 0.00109712 37450 2.23031 0.011431 2.24174 519.703 480.352 172.951 0.89371 37450 816.075 190.411 1006.49 63.288 -0.0338796 -0.0255609 0.0318 0.000780264 1661 0.211334 -0.211383 -4.84684e-05 8.69955 0.435116 0.531545 0.52151 0.16783 0.00370313 2054 1.43597 -0.0451862 1.39078 80.4444 79.1297 48.701 1.07458 2054 230.069 -0.281494 229.787
867 184.592 169.996 138.37 2.38996 3352 658.989 3.53812 662.528 35.5427 35.7547 61.4519 953164 0.404463 0.359771 0.194335 0.000994641 38174 1.60304 0.00383508 1.60687 840.19 848.016 107.331 0.549341 38174 500.677 564.3 1064.98 170.918 -0.0214592 -0.0168071 0.0187851 0.000370478 2571 0.159642 -0.159656 -1.40169e-05 6.60199 0.273948 0.335231 0.295713 0.139731 0.00241346 3352 1.27177 0.0392907 1.31106 60.6823 48.9192 52.7103 0.910424 3352 245.348 0.230347 245.578
930 134.1 110.433 91.6361 1.93143 2251 412.492 3.5432 416.035 28.2425 28.3435 64.7331 782701 0.429982 0.4104 0.224146 0.001266 31347 1.27346 0.00269947 1.27616 747.775 715.779 88.5001 0.499857 31347 384.223 632.273 1016.5 236.204 -0.0401032 -0.0358912 0.024856 0.000535187 2157 0.118924 -0.119065 -0.000141175 8.96307 0.348633 0.447815 0.439474 0.208246 0.00438923 2251 1.85629 -0.259322 1.59697 56.1021 45.3017 40.14 0.846037 2251 181.446 -2.11389 179.332
