BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
73 105.128 103.278 52.8 3.00856 308 244.384 3.89907 248.283 17.7851 18.2021 60.2898 94782.1 0.494721 0.501943 0.183421 0.00297705 3796 0.949955 0.0118892 0.961844 753.657 753.614 29.8051 0.483758 3796 179.133 676.774 855.907 152.308 -0.044326 -0.0437966 0.0219958 0.00128721 292 0.131174 -0.13132 -0.000145543 7.76649 0.359062 0.467778 0.43772 0.132437 0.00754632 308 0.607462 0.218949 0.826411 45.2969 40.9461 20.4095 1.16294 308 101.843 0.853699 102.696
75 120.725 138.133 53.0134 8.59991 38 167.971 31.5692 199.54 4.99732 4.99732 168.128 14257.3 2.05037 0.432807 6.05998 0.253602 571 34.0343 0.0341864 34.0685 873.169 876.29 14.6677 0.613824 571 83.0303 830.966 913.997 112.379 -0.747778 -0.0279895 2.09178 0.369778 32 8.16291 -8.16321 -0.000300859 150.459 0.2907 0.389715 0.345947 0.121662 0.0197362 38 0.503322 0.279729 0.783051 42.1137 40.7477 12.9684 2.10375 38 49.7701 19.8585 69.6287
80 113.554 120.3 67.0912 7.03307 91 283.356 4.84115 288.198 22.3643 19.8001 108.234 21972.7 0.54555 0.48618 0.25238 0.00850774 880 1.31461 0.117821 1.43243 855.212 849.685 28.2453 0.95215 880 125.546 805.396 930.942 41.3654 -0.02875 -0.021971 0.020929 0.00251955 69 0.0787319 -0.0795945 -0.000862598 5.44113 0.394415 0.471078 0.443785 0.174317 0.0182734 91 1.56028 0.113246 1.67353 53.7449 50.568 33.9978 3.56394 91 138.734 0.745789 139.48
81 70.3126 71.6031 49.447 6.85706 52 163.746 3.54826 167.294 4.9969 4.9969 171.661 14556.9 1.69316 0.565298 4.70481 0.194853 583 31.3856 0.126283 31.5119 730.653 728.839 17.8147 0.737811 583 66.5845 695.831 762.416 247.706 -0.31052 -0.0323185 1.04243 0.193573 29 4.31772 -4.32017 -0.00245235 36.3891 0.235731 0.264898 0.272725 0.0803864 0.0111476 52 0.568682 -0.138354 0.430329 19.8898 19.611 15.3185 2.12429 52 58.835 -0.640198 58.1948
84 84.6111 70.7487 63.2371 5.18058 149 207.695 3.53966 211.235 4.9969 4.9969 53.7719 38552 1.68439 0.517657 5.51553 0.140367 1544 40.0663 0.0263467 40.0927 917.382 917.838 31.895 0.811706 1544 147.383 829.906 977.289 42.5236 -0.224648 -0.039697 1.07793 0.100957 114 8.18216 -8.18365 -0.00148974 31.6795 0.379761 0.492515 0.480003 0.164969 0.0135148 149 1.00898 0.113198 1.12218 38.5584 41.9308 25.5876 2.09622 149 77.8249 0.849609 78.6745
85 150.453 154.455 29.9577 4.92502 37 128.773 57.0803 185.853 22.3782 20.2488 224.621 13083.7 0.385601 0.390537 0.101079 0.00441566 524 0.549475 0.0509006 0.600376 729.838 730.58 16.3945 0.716195 524 71.106 687.401 758.507 108.435 -0.0363003 -0.037422 0.0149318 0.00245477 37 0.062963 -0.0658008 -0.0028378 9.10247 0.300841 0.372449 0.351598 0.0773306 0.0127131 37 0.371315 0.339047 0.710362 54.3147 54.8361 7.64006 1.25602 37 23.6205 40.5477 64.1682
86 143.759 137.946 26.7232 3.81761 49 124.479 71.8436 196.323 17.5692 10105.5 1459.09 14581.9 0.569059 0.581327 0.139956 0.00579142 584 0.83504 0.0674548 0.902494 783.823 784.693 23.6475 0.97854 584 108.092 728.258 836.35 56.2815 -0.0448393 -0.0451809 0.010293 0.00147043 49 0.0475245 -0.0662107 -0.0186861 10.7434 0.43135 0.519493 0.514893 0.0339577 0.0048511 49 0.132204 0.472331 0.604535 74.4128 69.0576 13.3192 1.90274 49 66.7342 34.3508 101.085
89 61.4206 53.1331 44.9633 5.5346 66 163.749 4.75928 168.508 4.9969 4.9969 50.1693 36055.1 1.24911 0.556721 3.83303 0.100869 1444 32.191 0.0596928 32.2507 706.121 705.536 25.3095 0.66604 1444 107.467 649.641 757.108 200.025 -0.126964 -0.0395486 0.566841 0.0687396 68 4.43066 -4.43161 -0.000952366 12.9971 0.363006 0.47707 0.454048 0.115076 0.0141649 66 0.744378 0.242028 0.986406 26.7552 25.1489 19.1102 2.3523 66 86.1578 2.34106 88.4988
90 113.549 89.975 70.2745 5.64458 155 249.786 17.792 267.578 28.2037 27.7841 62.42 71860.6 0.438819 0.417811 0.178556 0.00332835 2878 1.02676 0.0174973 1.04425 781.81 784.74 41.3317 0.770439 2878 174.978 702.37 877.348 107.21 -0.0315877 -0.0316537 0.0162525 0.00137852 139 0.0681949 -0.070458 -0.00226317 5.9779 0.361407 0.455618 0.452148 0.0801735 0.00643969 155 0.500618 0.246639 0.747256 49.2447 37.702 29.1022 2.33755 155 99.3784 13.1235 112.502
91 158.936 183.298 105.304 10.2767 105 326.94 5.70014 332.64 22.4498 20.8754 272.95 15430.8 0.746798 0.73394 0.284338 0.0114377 618 1.42247 0.0786353 1.5011 893.141 891.595 31.6233 1.27208 618 118.063 838.468 956.53 98.221 -0.0464784 -0.044404 0.0279817 0.00373921 56 0.0977798 -0.0986521 -0.000872332 12.3118 0.409312 0.498246 0.474525 0.202721 0.0197836 105 0.993339 -0.0382478 0.955091 78.0651 83.7887 49.485 4.82924 105 162.554 -0.218018 162.336
95 119.965 130.788 54.0443 5.51587 96 199.279 7.70574 206.985 22.3572 23.2927 330.218 12634.3 0.548183 0.541088 0.19373 0.00861233 506 0.927532 0.0133711 0.940903 712.471 711.233 18.6373 0.828527 506 84.5513 676.468 761.019 123.229 -0.0475502 -0.0456795 0.0204174 0.00214033 91 0.100628 -0.107854 -0.00722534 9.5073 0.306214 0.37609 0.363395 0.0743485 0.00758816 96 0.520103 0.139658 0.659761 44.0822 46.2172 18.6321 1.90163 96 75.9139 1.11401 77.028
96 122.031 126.382 48.2759 4.46311 117 238.29 8.20397 246.494 4.9969 4.9969 68.3935 37103.8 0.521436 0.477675 0.735799 0.0190875 1486 20.9748 0.0649503 21.0397 690.198 688.144 32.115 0.833103 1486 123.762 632.504 756.266 227.527 -0.0841262 -0.0306771 0.426715 0.0399655 114 4.26507 -4.26621 -0.00114041 17.11 0.399081 0.469604 0.484996 0.0722705 0.00668141 117 0.349899 0.250922 0.600821 58.4405 67.4446 25.1035 2.32082 117 85.8415 3.34998 89.1915
99 92.7664 86.419 57.7036 4.26557 183 207.683 3.92083 211.603 34.8968 31.3916 56.4109 29088.8 0.524915 0.510649 0.169131 0.00495518 1165 0.964646 0.052307 1.01695 916.391 918.1 31.0107 0.90855 1165 135.517 836.733 972.249 102.696 -0.0415374 -0.0416788 0.018168 0.00141868 164 0.0939745 -0.0947462 -0.000771672 6.42213 0.407973 0.543459 0.466859 0.176989 0.0130834 183 0.986169 0.179817 1.16599 45.4154 44.0532 27.1246 2.00511 183 113.731 1.3609 115.092
